                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1068,                 5.1501,                 2.2872,                 0.0144,                0.44444,                0.03167,                0.01468,                 2.1294,                 4.2309,                 2.7611,                      0,                      0,                      0
                      2,                 2.0995,                 4.8659,                 2.3013,                0.01719,                0.44444,                0.03058,                0.01441,                 2.1289,                 4.2572,                 2.7588,             1.4149e-05,             1.4149e-05,             1.4149e-05
                      3,                 2.0119,                 4.9614,                 2.2529,                 0.0194,                0.44444,                0.02851,                0.01357,                 2.1339,                 4.2916,                 2.7648,             2.8014e-05,             2.8014e-05,             2.8014e-05
                      4,                 2.0421,                 5.3266,                 2.4805,                0.01749,                0.33333,                0.02765,                0.01338,                 2.1356,                 4.3072,                 2.7749,             4.1597e-05,             4.1597e-05,             4.1597e-05
                      5,                 2.0289,                 5.8452,                 2.5287,                 0.0156,                0.27873,                0.02919,                0.01423,                 2.1243,                 4.3262,                 2.7867,             5.4896e-05,             5.4896e-05,             5.4896e-05
                      6,                 2.0532,                 5.0877,                 2.4563,                0.97258,                0.66667,                0.69582,                0.42492,                 1.7889,                 3.3214,                 2.4929,             6.7913e-05,             6.7913e-05,             6.7913e-05
                      7,                 1.7089,                 2.7486,                 1.9397,                0.94842,                0.98198,                  0.995,                0.57317,                 1.4567,                 5.2596,                 2.0081,             8.0647e-05,             8.0647e-05,             8.0647e-05
                      8,                  1.505,                 2.5526,                 1.5694,                0.95137,                0.66667,                0.87711,                0.63403,                 1.1942,                 7.4286,                 1.5876,             9.3098e-05,             9.3098e-05,             9.3098e-05
                      9,                0.99037,                 1.9097,                 1.2224,                0.94375,                      1,                  0.995,                0.79616,                0.84377,                 4.8335,                 1.2641,             0.00010527,             0.00010527,             0.00010527
                     10,                0.81206,                 1.8546,                 1.1229,                0.96563,                      1,                  0.995,                0.78502,                0.97248,                 2.8915,                 1.2686,             0.00011715,             0.00011715,             0.00011715
                     11,                0.88683,                 1.5304,                 1.0909,                0.97693,                      1,                  0.995,                0.91401,                0.57406,                 1.7878,                 1.1278,             0.00012875,             0.00012875,             0.00012875
                     12,                0.65173,                 1.4288,                0.99873,                0.97535,                      1,                  0.995,                0.88459,                 0.5145,                  1.866,                 1.0973,             0.00014007,             0.00014007,             0.00014007
